11150001,Carrefour Market
11400004,Total
11290003,Total
11170002,Intermarché
11150002,Indépendant sans enseigne
11390001,Indépendant sans enseigne
11260001,Intermarché
11300002,Système U
11300003,Esso Express
11000001,Géant
11430002,Intermarché
11880001,Géant
11500004,Indépendant sans enseigne
11400006,ESSO
11000012,Indépendant sans enseigne
11480007,Avia
11000016,Carrefour
11800002,Système U
11000007,Leclerc
11000008,Avia
11800003,Intermarché
11000015,Total Access
11000009,Intermarché
11160002,Indépendant sans enseigne
11300001,Dyneff
11590002,Indépendant sans enseigne
11700005,Intermarché
11220001,Dyneff
11200007,Système U
11300004,Leclerc
12240002,Intermarché
12330004,Netto
12330003,Intermarché
12200003,Esso Express
12170004,Carrefour Market
12150006,Total
12200006,Elan
12170001,Carrefour Contact
12340002,Intermarché Contact
12300001,Géant
12450002,Total
12230001,Total
12200005,Intermarché
12000002,Total
12200004,Leclerc
12200002,Carrefour
12300003,Esso Express
12100002,Total
12400002,Total
12700001,Intermarché
12100001,Géant
12490002,Avia
12160002,Elan
12270001,Intermarché Contact
12000007,Indépendant sans enseigne
12160003,Carrefour Market
12300004,Intermarché
12800002,Intermarché Contact
12220001,Système U
12150004,Intermarché
12150003,Netto
12850001,Géant
12360001,Intermarché Contact
12780002,Indépendant sans enseigne
12150005,Indépendant sans enseigne
12510001,Système U
12000011,Intermarché
12500004,Système U
12310002,Intermarché Contact
12850002,Leclerc
12000010,Leclerc
12850004,Leclerc
12500003,Indépendant sans enseigne
12120001,Carrefour Contact
12260002,Total
12500002,Total
12390001,Système U
12210001,Supermarche atac
12100005,Simply Market
12110004,Total
12110002,Intermarché
12130001,Total
12330002,Total
12200001,Total
12580001,Indépendant sans enseigne
12290003,Intermarché Contact
12110003,Intermarché
12100004,Carrefour Market
12100009,Leclerc
12100006,Leclerc
12560001,Indépendant sans enseigne
12400001,Carrefour Market
12400003,Intermarché
12130002,Intermarché
12560002,Indépendant sans enseigne
12340001,Total
12490001,Indépendant sans enseigne
12400007,Avia
12430001,Total
12400005,Indépendant sans enseigne
12450001,Carrefour Market
12400006,Système U
12100010,Indépendant sans enseigne
12230003,Indépendant sans enseigne
12420001,Indépendant sans enseigne
12290001,Total
12800001,Total
12600001,Indépendant sans enseigne
12600002,Avia
12800003,Indépendant sans enseigne
12310001,Total
13470001,Intermarché
13300005,Leclerc
13124002,ROMPETROL
13320009,Avia
13008014,Avia
13590002,Super Casino
13140001,Carrefour Market
13120006,Leader Price
13140005,Intermarché
13700005,Leclerc
13300008,Intermarché
13741001,Carrefour
13220003,Carrefour
13545001,Carrefour
13112003,Intermarché
13600001,Dyneff
13110003,Carrefour
13790001,CARAUTOROUTES
13626001,Géant
13300007,Carrefour Market
13008008,Carrefour
13150001,Simply Market
13600004,Total
13011016,Total
13200014,Total
13320011,Total
13680007,Total
13680008,Total
13700009,Total
13700010,Total
13160002,Intermarché
13160005,Système U
13160001,Indépendant sans enseigne
13127006,Leclerc
13600005,Carrefour
13500001,Auchan
13740001,Total
13011018,Intermarché
13014001,Carrefour
13800004,Leclerc
13560003,Avia
13660002,Indépendant sans enseigne
13670001,Indépendant sans enseigne
13480002,Leclerc
13620002,Indépendant sans enseigne
13600014,Casino
13368001,Géant
13660005,Intermarché
13730001,Casino
13463001,Carrefour
13390001,Casino
13800001,Géant
13400009,Casino
13560001,Total
13122001,Total
13200019,Esso Express
13500013,BP
13007001,Esso Express
13010005,Esso Express
13100005,Esso Express
13100006,Esso Express
13270004,Esso Express
13400007,Esso Express
13500005,Esso Express
13710002,Esso Express
13015004,Esso Express
13380002,Esso Express
13008004,Esso Express
13012016,Intermarché
13320004,Esso Express
13003004,Total Access
13004005,Total Access
13005011,Total
13005012,Total
13005013,Total Access
13006005,Total
13008016,Total
13008017,Total Access
13009008,Total Access
13010011,Total Access
13011017,Total Access
13012022,Total Access
13013016,Total Access
13013017,Total Access
13015019,Total Access
13016007,Total
13016008,Total Access
13090017,Total Access
13090018,Total Access
13100013,Total Access
13100014,Total Access
13100015,Total Access
13100017,Total Access
13110005,Total
13127010,Total
13140010,Total Access
13150006,Total Access
13170011,Total Access
13200015,Total
13200016,Total Access
13260002,Total
13270011,Total Access
13270012,Total Access
13270013,Total Access
13300010,Total Access
13320012,Total
13400015,Total
13500011,Total
13500012,Total Access
13600015,Total Access
13700011,Total Access
13120002,Total
13400014,Total
13200013,Indépendant sans enseigne
13300001,Total
13620001,Total
13550001,Total
13800007,Total
13590003,Total
13460001,Indépendant sans enseigne
13122002,Intermarché
13570001,Intermarché Contact
13680004,Intermarché
13740002,Casino
13710004,Intermarché
13850001,Intermarché
13530002,Casino
13410002,Casino
13100008,Casino
13210002,Intermarché
13130005,Dyneff
13770002,Intermarché
13150003,Intermarché
13013012,Indépendant sans enseigne
13008001,Géant
13200009,Intermarché
13170010,Indépendant sans enseigne
13890000,Indépendant sans enseigne
13710003,Casino
13010001,Auchan
13990002,Elan
13013007,Casino
13008013,Agip
13009001,Super Casino
13751001,Géant
13440003,DISTRIFIOUL PC
13800009,Avia
13013011,GAROUCHA
13870001,Système U
13015013,Agip
13130002,Carrefour Market
13270005,Intermarché
